IMDB ID,Budget,Gross,,,,,,,,,,,,,,
tt0098554,"$15,000,000 ","$66,758,538 ",,,,,,,,,,,,,,
tt0098627,"$30,218,387 ",,,,,,,,,,,,,,,
tt0098635,"$16,000,000 ","$92,823,600 ",,,,,,,,,,,,,,
tt0098663,"$6,000,000 ","$14,278,900 ",,,,,,,,,,,,,,
tt0099088,"$40,000,000 ","$87,727,583 ",,,,,,,,,,,,,,
tt0099141,"$20,000,000 ","$70,980,000 ",,,,,,,,,,,,,,
tt0099204,"$27,627,310 ",,,,,,,,,,,,,,,
tt0099250,"$85,395 ",,,,,,,,,,,,,,,
tt0099253,"$13,000,000 ","$28,501,605 ",,,,,,,,,,,,,,
tt0099305,"$1,006,575 ",,,,,,,,,,,,,,,
tt0099329,"$11,000,000 ","$8,266,343 ",,,,,,,,,,,,,,
tt0099348,"$22,000,000 ","$184,208,848 ",,,,,,,,,,,,,,
tt0099594,,"GBP2,500,000",,,,,,,,,,,,,,
tt0099654,"$24,707,633 ",,,,,,,,,,,,,,,
tt0099710,"$17,037,887 ",,,,,,,,,,,,,,,
tt0099762,"$11,567,449 ",,,,,,,,,,,,,,,
tt0099768,"$1,030,938 ",,,,,,,,,,,,,,,
tt0099878,"$10,900,000 ",,,,,,,,,,,,,,,
tt0099938,"$26,000,000 ","$91,457,688 ",,,,,,,,,,,,,,
tt0099951,"$2,060,847 ",,,,,,,,,,,,,,,
tt0100046,"$4,803,039 ",,,,,,,,,,,,,,,
tt0100050,"$47,489,074 ",,,,,,,,,,,,,,,
tt0100053,"$15,000,000 ","$5,585,154 ",,,,,,,,,,,,,,
tt0100142,"$225,000 ","$2,938,208 ",,,,,,,,,,,,,,
tt0100168,"$10,000,000 ","$16,153,600 ",,,,,,,,,,,,,,
tt0100196,"$4,011,793 ",,,,,,,,,,,,,,,
tt0100258,"$4,200,000 ","$5,835,247 ",,,,,,,,,,,,,,
tt0100301,"$11,359,129 ",,,,,,,,,,,,,,,
tt0100419,"$10,000,000 ","$53,470,900 ",,,,,,,,,,,,,,
tt0100802,"$65,000,000 ","$119,394,840 ",,,,,,,,,,,,,,
tt0100935,"$9,500,000 ","$14,560,247 ",,,,,,,,,,,,,,
tt0101329,"$22,166,041 ",,,,,,,,,,,,,,,
tt0101410,"$9,000,000 ","$6,153,939 ",,,,,,,,,,,,,,
tt0101414,"$25,000,000 ","$218,967,620 ",,,,,,,,,,,,,,
tt0101481,"$35,154 ",,,,,,,,,,,,,,,
tt0101516,"$30,000,000 ","$49,114,016 ",,,,,,,,,,,,,,
tt0101545,"$11,336,986 ",,,,,,,,,,,,,,,
tt0101587,"$27,000,000 ","$124,033,791 ",,,,,,,,,,,,,,
tt0101615,"$6,000,000 ","$1,193,062 ",,,,,,,,,,,,,,
tt0101640,"$2,603,061 ",,,,,,,,,,,,,,,
tt0101761,"$38,000,000 ","$35,183,792 ",,,,,,,,,,,,,,
tt0101764,"$15,000,000 ","$30,102,717 ",,,,,,,,,,,,,,
tt0101811,"$13,200,170 ",,,,,,,,,,,,,,,
tt0102004,"$25,895,485 ",,,,,,,,,,,,,,,
tt0102014,"$4,313,173 ",,,,,,,,,,,,,,,
tt0102138,"$40,000,000 ","$70,405,498 ",,,,,,,,,,,,,,
tt0102175,"$14,000,000 ","$32,482,682 ",,,,,,,,,,,,,,
tt0102216,"$34,002,045 ",,,,,,,,,,,,,,,
tt0102328,"$170,667 ",,,,,,,,,,,,,,,
tt0102685,"$24,000,000 ","$43,218,387 ",,,,,,,,,,,,,,
tt0102719,"$15,000,000 ","$25,104,700 ",,,,,,,,,,,,,,
tt0102729,"$17,010,000 ","$22,641,969 ",,,,,,,,,,,,,,
tt0102741,"$612,781 ",,,,,,,,,,,,,,,
tt0102753,"$7,500,000 ","$6,266,621 ",,,,,,,,,,,,,,
tt0102926,"$19,000,000 ","$130,742,922 ",,,,,,,,,,,,,,
tt0103064,"$102,000,000 ","$204,843,350 ",,,,,,,,,,,,,,
tt0103141,"$778,535 ",,,,,,,,,,,,,,,
tt0103251,"$17,487,531 ",,,,,,,,,,,,,,,
tt0103253,"$1,008,404 ",,,,,,,,,,,,,,,
tt0103747,"$17,530,973 ",,,,,,,,,,,,,,,
tt0103772,"$49,000,000 ","$117,727,000 ",,,,,,,,,,,,,,
tt0103850,"$4,479,470 ",,,,,,,,,,,,,,,
tt0103859,"$40,000,000 ","$70,100,000 ",,,,,,,,,,,,,,
tt0103935,"$28,422 ",,,,,,,,,,,,,,,
tt0103956,"$13,000,000 ","$14,960,255 ",,,,,,,,,,,,,,
tt0104057,"$1,642,436 ",,,,,,,,,,,,,,,
tt0104070,"$55,000,000 ","$58,422,650 ",,,,,,,,,,,,,,
tt0104139,"$8,403,433 ",,,,,,,,,,,,,,,
tt0104215,"$3,000,000 ","$1,152,117 ",,,,,,,,,,,,,,
tt0104231,"$60,000,000 ","$58,883,840 ",,,,,,,,,,,,,,
tt0104452,"$58,500,635 ",,,,,,,,,,,,,,,
tt0104693,"$38,000 ","$117,480 ",,,,,,,,,,,,,,
tt0104697,"$1,514,114 ",,,,,,,,,,,,,,,
tt0104756,"$30,000,000 ","$7,286,388 ",,,,,,,,,,,,,,
tt0104797,"$33,000,000 ","$48,169,908 ","AdagiofromConcertoGrossoOp.6,no.8inGMinorChristmasConcerto<br/>",,,,,,,,,,,,,
tt0104812,"$2,806,881 ",,,,,,,,,,,,,,,
tt0104926,"$40,000,000 ","$20,883,046 ",,,,,,,,,,,,,,
tt0105078,"$1,659,542 ",,,,,,,,,,,,,,,
tt0105107,"$3,330,000 ","$5,414,619 ",,,,,,,,,,,,,,
tt0105121,"$6,000,000 ","$24,204,154 ",,,,,,,,,,,,,,
tt0105187,"$3,067,917 ",,,,,,,,,,,,,,,
tt0105217,"$12,000,000 ","$21,370,057 ",,,,,,,,,,,,,,
tt0105226,"$8,000,000 ","$2,502,551 ",,,,,,,,,,,,,,
tt0105236,"$1,200,000 ","$2,832,029 ",,,,,,,,,,,,,,
tt0105323,"$31,000,000 ","$63,895,607 ",,,,,,,,,,,,,,
tt0105477,"$45,000,000 ","$28,411,210 ",,,,,,,,,,,,,,
tt0105488,"$3,000,000 ","$11,738,022 ",,,,,,,,,,,,,,
tt0105572,"$20,194 ",,,,,,,,,,,,,,,
tt0105636,"$14,000,000 ","$13,747,138 ",,,,,,,,,,,,,,
tt0105690,"$35,000,000 ","$83,363,139 ",,,,,,,,,,,,,,
tt0105698,"$23,000,000 ","$36,299,898 ",,,,,,,,,,,,,,
tt0106264,"$263,601 ",,,,,,,,,,,,,,,
tt0106350,"$543,091 ",,,,,,,,,,,,,,,
tt0106375,"$15,000,000 ","$53,354,166 ",,,,,,,,,,,,,,
tt0106455,"$9,000,000 ","$10,058,318 ",,,,,,,,,,,,,,
tt0106489,"$22,000,000 ","$17,266,971 ",,,,,,,,,,,,,,
tt0106500,"$17,953,778 ",,,,,,,,,,,,,,,
